"ACCESS-ESM1-5","CanESM5","CESM2","GFDL-ESM4","IPSL-CM6A-LR","MIROC-ES2L","MPI-ESM1-2-LR","NorESM2-LM","UKESM1-0-LL"
921.106245595793,1584.72365688295,1890.33847523071,600.585122037997,681.570971680757,1590.70971982076,1053.41530667634,2621.05508335782,1833.75141958628
922.12591426402,1588.59595561379,1891.6254834996,603.74760032463,683.854070547618,1595.18521233816,1055.46295413229,2621.50863063518,1835.3711554016
923.212324668473,1591.99225925032,1892.48237629442,608.407947615959,686.287086597984,1599.69313501062,1059.01329254138,2622.50026431315,1836.95411196534
923.955872918801,1595.36572887532,1894.06730978995,610.168666858856,688.489618475106,1603.39167604779,1061.24237134314,2623.60910151717,1839.25026980497
924.780473440255,1598.67596054278,1894.94702447476,612.003504415833,690.4201220437,1607.7843868243,1064.67298263109,2624.563659633,1841.51383910143
925.551793213284,1602.4620450631,1895.60809445579,613.574171219371,692.058946559784,1613.23281438712,1068.16699874706,2625.53240997525,1842.72632018123
926.38223717344,1605.92316900992,1896.91257364257,616.904733953229,694.082494278491,1618.81939909465,1070.57363372712,2626.72993264494,1844.52316290132
926.967660277692,1610.13242282815,1898.23736033393,622.570562788163,696.83208416853,1622.69272556624,1073.24205807997,2627.72015411714,1846.28442574248
927.839481112846,1612.51921040981,1899.00385455408,624.656991724817,698.933621157672,1626.18571942336,1077.09743355251,2629.24186161491,1848.42126903005
928.603764281299,1615.86210255428,1900.03233972588,625.995122608027,700.937717815821,1630.87785204429,1078.94193841333,2630.02154770198,1851.12092023292
929.56277723843,1620.64905546536,1901.50659072165,627.900207555874,702.925520033156,1636.10348127162,1081.36486215037,2631.25772367619,1853.68241765963
930.636804041655,1624.14669264696,1902.8173445828,629.357869898103,704.75359408282,1640.58511230495,1085.76945183954,2632.27612088164,1854.95773225168
931.21276021362,1627.89736946413,1903.82397466574,630.45070143285,706.52877281873,1644.1556461801,1088.20308583795,2633.19273874063,1855.33460129046
931.673877204533,1632.78916315946,1904.82499796988,633.429420092247,708.427061080303,1648.27848975899,1088.01606701159,2634.19904485297,1857.83754733042
931.863351082414,1637.36326280699,1905.74589531266,637.786417127887,710.342360720324,1653.72033062276,1091.33992075068,2635.41340668124,1860.97500893866
932.444550902844,1641.38835484574,1906.72163554083,638.971489913988,712.600615273215,1659.0985949148,1095.41464188517,2636.30656813503,1863.90631768758
933.567382952661,1646.31161896334,1908.17310565915,639.573377818415,714.790724589645,1664.26997389669,1098.68429955911,2637.53277488996,1865.05082023521
934.579561119128,1650.52796886992,1909.56202907484,642.23682524634,717.2614717746,1669.27216801837,1102.05333086411,2638.87267143391,1866.19362111093
935.363270361185,1654.29316113136,1911.23010903833,645.42447792858,719.170337643351,1674.18166906559,1104.61498064669,2640.38541109614,1869.39088119604
936.093269250506,1658.27234450774,1912.35513410833,647.982937221937,720.105303069494,1678.5694283494,1107.80764314952,2641.41020339646,1872.63206586842
937.165403399617,1663.24642551922,1913.35274467941,650.509780418261,722.042312082725,1682.61985365381,1110.61406630739,2642.31328242794,1874.87366424698
937.96207430189,1668.66069686621,1915.30954244565,654.270229196,724.782686655168,1687.79344052251,1113.01709987268,2643.31343431382,1875.93479201448
938.850645633204,1673.49984588976,1916.34897691922,657.018276447165,727.063640147706,1693.32199304815,1117.44812271447,2645.12095648598,1878.48117725306
939.413874261111,1676.95543302168,1916.90394714464,660.774180721088,728.887683719111,1698.72338292594,1120.66651494811,2646.54413870833,1880.63771538974
940.490174646896,1681.45224635795,1918.29375626289,663.766525089756,730.820342040436,1704.18033943612,1123.64895646409,2647.5356756848,1882.39502268978
941.616179232515,1686.13781549201,1920.26344376534,667.248901709381,732.728536662101,1709.22735761434,1126.66157617508,2648.63749371681,1884.71331849497
942.278304458291,1691.2449050385,1921.4836374424,670.573043536612,733.915671329795,1714.3424243916,1128.61252065028,2649.53395143769,1886.90794864175
942.678147538183,1696.18731057539,1922.29161980921,674.604714185086,735.959601823719,1719.57481739349,1130.85177752862,2650.59337940973,1888.24361744831
943.155955559765,1700.91832451634,1923.99927241848,674.807719691163,737.847864674784,1724.68346678925,1133.53923730202,2652.11678914432,1890.17044384348
943.838704028094,1705.44739493965,1925.49740819352,675.839669881609,740.175488927651,1730.35364284029,1136.7016523761,2653.60952083633,1893.34541619066
944.304091766696,1710.40967790611,1926.81337686855,678.756847316985,742.161236537929,1735.84769823613,1141.41378969315,2654.56078121794,1896.37635192033
945.105782244894,1715.28975998029,1927.90225751203,679.447500704713,743.910330784686,1739.56479152219,1144.23278187277,2655.51601308016,1898.84608557035
945.589123439954,1720.57020540207,1929.6789913362,682.722873954736,745.665811065433,1743.89272904078,1146.23824229749,2656.70913932772,1900.37995442909
946.233254350148,1726.89952653998,1930.76909658479,687.018986625143,747.27949450459,1749.33080755425,1148.62636083133,2657.87344913028,1900.80048637308
947.069352117765,1731.76628610361,1931.84633245552,690.232373994572,749.610387829439,1755.45060856594,1151.36302636043,2659.50831548437,1903.12442434645
947.467130336263,1737.2265018448,1933.36045879991,692.660627433136,751.384547055076,1761.20875846835,1153.29288221785,2660.77835500007,1905.84964438995
947.643384163112,1742.73010401549,1935.23164006194,696.306351675334,753.415804455387,1765.46594775455,1156.55330489793,2662.1119256278,1908.56520894921
948.286679697266,1748.51967241379,1936.8292423161,699.260301068307,755.485624745561,1769.05840285976,1159.32220091646,2663.66160573078,1910.16825528237
948.950311906984,1752.46065077523,1938.01038278199,702.639119532491,757.248322534039,1774.2400357831,1161.47395511389,2664.59858397365,1912.50526739993
949.527434100897,1757.87896032643,1939.40404336862,705.608522502977,758.854192451885,1779.83658071044,1163.09567550553,2665.59444042021,1915.27356541834
950.378346686736,1763.12881496755,1940.79786906313,709.231746978091,760.335633994109,1785.39928128262,1164.9700364456,2667.15118213225,1916.96141891816
950.998144932188,1768.07605235277,1942.57188691367,713.52575006574,761.813227065493,1790.45782591412,1167.1989168465,2667.95652286241,1919.60049254162
951.734043009089,1773.77118486231,1944.12530095022,718.800886820495,763.40993463505,1795.14886784204,1171.07241286451,2669.35202446536,1922.49661563261
952.517239696912,1779.05197367472,1945.19942118533,719.395831290211,765.026727608969,1799.99033261476,1173.72678930431,2670.86953426316,1924.43297998743
953.389099517944,1784.08537727421,1946.74701533491,719.623347928238,766.179070851895,1805.44022927744,1176.87323433493,2672.04901513461,1925.27602493591
954.173631515884,1789.71867998837,1948.50903872584,726.463114689433,767.789832985357,1810.73628618099,1180.62018242605,2673.44239621161,1927.54307340908
954.868955199501,1796.25961292202,1950.43418797033,729.664360128584,769.098970180886,1815.3888698379,1182.42046868136,2674.96781138301,1930.36795796791
955.330380729276,1802.54362843716,1951.76511578507,728.908468619216,770.547787214922,1820.71113629129,1184.81920048006,2676.43538831875,1933.19889208605
955.917558542301,1808.57595429453,1953.21978375544,733.01393931422,772.164669569821,1826.4615541755,1187.50907632742,2678.09778379683,1935.73421578067
956.351309548095,1813.76789271023,1954.75163059744,737.387671452979,773.644670715657,1832.28834998688,1189.94910225432,2679.49589733621,1937.51710220533
956.741582175357,1818.18066548821,1956.30297030033,738.406198620421,775.370728324512,1837.2036016922,1192.78737064814,2680.55448431615,1940.06377176833
